Label,取樣數,平均值,最小值,最大值,Std. Dev.,錯誤率,處理量,每秒仟位元組,Avg. Bytes
HTTP 要求,1703,66090,991,529179,132106.65,78.98%,3.2,5.63,1795.7
總計,1703,66090,991,529179,132106.65,78.98%,3.2,5.63,1795.7
