Label,取樣數,平均值,最小值,最大值,Std. Dev.,錯誤率,處理量,每秒仟位元組,Avg. Bytes
HTTP 要求,100,494,129,806,156.91,0.00%,71.6,16.92,242.0
總計,100,494,129,806,156.91,0.00%,71.6,16.92,242.0
