Label,取樣數,平均值,最小值,最大值,Std. Dev.,錯誤率,處理量,每秒仟位元組,Avg. Bytes
HTTP 要求,1000,5182,113,20287,6131.68,0.00%,46.5,10.99,242.0
總計,1000,5182,113,20287,6131.68,0.00%,46.5,10.99,242.0
