Label,取樣數,平均值,最小值,最大值,Std. Dev.,錯誤率,處理量,每秒仟位元組,Avg. Bytes
HTTP 要求,100,96346,1800,201087,59309.29,0.00%,.5,0.12,242.0
總計,100,96346,1800,201087,59309.29,0.00%,.5,0.12,242.0
