Label,取樣數,平均值,最小值,最大值,Std. Dev.,錯誤率,處理量,每秒仟位元組,Avg. Bytes
HTTP 要求,1000,85470,2481,292136,76301.54,66.50%,3.4,5.29,1590.0
總計,1000,85470,2481,292136,76301.54,66.50%,3.4,5.29,1590.0
