Label,取樣數,平均值,最小值,最大值,Std. Dev.,錯誤率,處理量,每秒仟位元組,Avg. Bytes
HTTP 要求,500,120435,1893,270045,71290.24,28.80%,1.8,1.49,825.8
總計,500,120435,1893,270045,71290.24,28.80%,1.8,1.49,825.8
