Label,取樣數,平均值,最小值,最大值,Std. Dev.,錯誤率,處理量,每秒仟位元組,Avg. Bytes
HTTP 要求,1677,80466,519,340556,74943.01,76.39%,4.9,9.03,1882.7
總計,1677,80466,519,340556,74943.01,76.39%,4.9,9.03,1882.7
