Label,取樣數,平均值,最小值,最大值,Std. Dev.,錯誤率,處理量,每秒仟位元組,Avg. Bytes
HTTP 要求,500,3403,208,19348,3856.81,0.00%,25.8,6.09,242.0
總計,500,3403,208,19348,3856.81,0.00%,25.8,6.09,242.0
