Label,取樣數,平均值,最小值,最大值,Std. Dev.,錯誤率,處理量,每秒仟位元組,Avg. Bytes
HTTP 要求,1810,7982,42,21106,7219.97,20.11%,84.2,53.21,647.0
總計,1810,7982,42,21106,7219.97,20.11%,84.2,53.21,647.0
