Label,取樣數,平均值,最小值,最大值,Std. Dev.,錯誤率,處理量,每秒仟位元組,Avg. Bytes
HTTP 要求,1754,7842,100,20772,7012.17,15.22%,79.9,42.92,550.2
總計,1754,7842,100,20772,7012.17,15.22%,79.9,42.92,550.2
